00:31:09.367321 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7918532:7918728, ack 4609, win 501, length 196
00:31:09.367401 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7918728:7918924, ack 4609, win 501, length 196
00:31:09.367487 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7918924:7919120, ack 4609, win 501, length 196
00:31:09.367567 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7919120:7919316, ack 4609, win 501, length 196
00:31:09.367647 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7919316:7919512, ack 4609, win 501, length 196
00:31:09.367728 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7919512:7919708, ack 4609, win 501, length 196
00:31:09.367811 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7919708:7919904, ack 4609, win 501, length 196
00:31:09.367897 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7919904:7920100, ack 4609, win 501, length 196
00:31:09.368009 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7920100:7920296, ack 4609, win 501, length 196
00:31:09.368115 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7920296:7920492, ack 4609, win 501, length 196
00:31:09.368202 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7920492:7920688, ack 4609, win 501, length 196
00:31:09.368289 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7920688:7920884, ack 4609, win 501, length 196
00:31:09.368369 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7920884:7921080, ack 4609, win 501, length 196
00:31:09.368450 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7921080:7921276, ack 4609, win 501, length 196
00:31:09.368530 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7921276:7921472, ack 4609, win 501, length 196
00:31:09.368614 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7921472:7921668, ack 4609, win 501, length 196
00:31:09.368697 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7921668:7921864, ack 4609, win 501, length 196
00:31:09.368778 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7921864:7922060, ack 4609, win 501, length 196
00:31:09.368884 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7922060:7922256, ack 4609, win 501, length 196
00:31:09.368968 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7922256:7922452, ack 4609, win 501, length 196
00:31:09.369048 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7922452:7922648, ack 4609, win 501, length 196
00:31:09.369134 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7922648:7922844, ack 4609, win 501, length 196
00:31:09.369215 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7922844:7923040, ack 4609, win 501, length 196
00:31:09.369296 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7923040:7923236, ack 4609, win 501, length 196
00:31:09.369380 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7923236:7923432, ack 4609, win 501, length 196
00:31:09.369460 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7923432:7923628, ack 4609, win 501, length 196
00:31:09.369540 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7923628:7923824, ack 4609, win 501, length 196
00:31:09.369626 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7923824:7924020, ack 4609, win 501, length 196
00:31:09.369707 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7924020:7924216, ack 4609, win 501, length 196
00:31:09.369792 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7924216:7924412, ack 4609, win 501, length 196
00:31:09.369873 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7924412:7924608, ack 4609, win 501, length 196
00:31:09.369953 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7924608:7924804, ack 4609, win 501, length 196
00:31:09.370038 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7924804:7925000, ack 4609, win 501, length 196
00:31:09.370118 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7925000:7925196, ack 4609, win 501, length 196
00:31:09.370204 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7925196:7925392, ack 4609, win 501, length 196
00:31:09.370305 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129: Flags [P.], seq 7925392:7925588, ack 4609, win 501, length 196
00:31:09.370350 IP cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.64129 > 138.197.139.105.ssh: Flags [.], ack 7900672, win 513, length 0
