PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=31 ttl=121 time=0.546 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=121 time=0.529 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=121 time=0.543 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=121 time=0.540 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=121 time=0.529 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=121 time=0.536 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=121 time=0.495 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=121 time=0.532 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=121 time=0.519 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=121 time=0.519 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=121 time=0.575 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=121 time=0.521 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=121 time=0.526 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=121 time=0.549 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=121 time=0.512 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=121 time=0.499 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=121 time=0.516 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=121 time=0.547 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=121 time=0.545 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=121 time=0.511 ms
